0.000000,0.000000,0.000000
0.050000,-0.350000,0.350000
0.100000,-0.700000,0.700000
0.150000,-1.050000,1.050000
0.200000,-1.400000,1.400000
0.250000,-1.750000,1.750000
0.300000,-2.100000,2.100000
0.350000,-2.450000,2.450000
0.400000,-2.800000,2.800000
0.450000,-3.150000,3.150000
0.500000,-3.500000,3.500000
0.550000,-3.850000,3.850000
0.600000,-4.200000,4.200000
0.650000,-4.550000,4.550000
0.700000,-4.900000,4.900000
0.750000,-5.250000,5.250000
0.800000,-5.600000,5.600000
0.850000,-5.950000,5.950000
0.900000,-6.300000,6.300000
0.950000,-6.650000,6.650000
1.000000,-7.000000,7.000000
0.000000,0.000000,0.000000
0.150000,-0.100000,0.100000
0.300000,-0.200000,0.200000
0.450000,-0.300000,0.300000
0.600000,-0.400000,0.400000
0.750000,-0.500000,0.500000
0.900000,-0.600000,0.600000
1.050000,-0.700000,0.700000
1.200000,-0.800000,0.800000
1.350000,-0.900000,0.900000
1.500000,-1.000000,1.000000
1.650000,-1.100000,1.100000
1.800000,-1.200000,1.200000
1.950000,-1.300000,1.300000
2.100000,-1.400000,1.400000
2.250000,-1.500000,1.500000
2.400000,-1.600000,1.600000
2.550000,-1.700000,1.700000
2.700000,-1.800000,1.800000
2.850000,-1.900000,1.900000
3.000000,-2.000000,2.000000
0.000000,0.000000,0.000000
0.000000,0.035355,0.035355
0.000000,0.070711,0.070711
0.000000,0.106066,0.106066
0.000000,0.141421,0.141421
0.000000,0.176777,0.176777
0.000000,0.212132,0.212132
0.000000,0.247487,0.247487
0.000000,0.282843,0.282843
0.000000,0.318198,0.318198
0.000000,0.353553,0.353553
0.000000,0.388909,0.388909
0.000000,0.424264,0.424264
0.000000,0.459619,0.459619
0.000000,0.494975,0.494975
0.000000,0.530330,0.530330
0.000000,0.565685,0.565685
0.000000,0.601041,0.601041
0.000000,0.636396,0.636396
0.000000,0.671751,0.671751
0.000000,0.707107,0.707107
0.000000,0.000000,0.000000
0.000000,-0.035355,-0.035355
0.000000,-0.070711,-0.070711
0.000000,-0.106066,-0.106066
0.000000,-0.141421,-0.141421
0.000000,-0.176777,-0.176777
0.000000,-0.212132,-0.212132
0.000000,-0.247487,-0.247487
0.000000,-0.282843,-0.282843
0.000000,-0.318198,-0.318198
0.000000,-0.353553,-0.353553
0.000000,-0.388909,-0.388909
0.000000,-0.424264,-0.424264
0.000000,-0.459619,-0.459619
0.000000,-0.494975,-0.494975
0.000000,-0.530330,-0.530330
0.000000,-0.565685,-0.565685
0.000000,-0.601041,-0.601041
0.000000,-0.636396,-0.636396
0.000000,-0.671751,-0.671751
0.000000,-0.707107,-0.707107
